date,house_sales,hpi,housing_stock_NZDm,residential_investment_NZDm
1990-03-31,22857,477,123000,1790
1990-06-30,22681,480,125000,2043
1990-09-30,20179,483,126000,1873
1990-12-31,17478,482,126000,1985
1991-03-31,17337,479,124000,1567
1991-06-30,17903,470,123000,1626
1991-09-30,17774,468,125000,1541
1991-12-31,16795,466,125000,1684
1992-03-31,18663,468,125000,1498
1992-06-30,18564,467,127000,1701
1992-09-30,18946,470,128000,1576
1992-12-31,18651,477,129000,1757
1993-03-31,19959,481,131000,1555
1993-06-30,20440,482,133000,1887
1993-09-30,23891,491,136000,1979
1993-12-31,25508,503,140000,2090
1994-03-31,29866,520,148000,1793
1994-06-30,27809,536,154000,2274
1994-09-30,26724,554,160000,2271
1994-12-31,24298,572,164000,2248
1995-03-31,23433,579,168000,2013
1995-06-30,24509,585,172000,2361
1995-09-30,26185,599,177000,2145
1995-12-31,27301,621,183000,2285
1996-03-31,34598,653,192000,2088
1996-06-30,25087,663,196000,2379
1996-09-30,22893,662,197000,2221
1996-12-31,26436,680,201000,2435
1997-03-31,29123,696,209000,2281
1997-06-30,27144,702,215000,2486
1997-09-30,25187,706,218000,2508
1997-12-31,24390,715,221000,2531
1998-03-31,21163,709,220000,2067
1998-06-30,18375,688,218000,2203
1998-09-30,20568,677,219000,2016
1998-12-31,24765,690,221000,2153
1999-03-31,26141,701,223000,1969
1999-06-30,24275,705,226000,2284
1999-09-30,23209,706,227000,2439
1999-12-31,22043,705,227000,2525
2000-03-31,22913,705,229000,2706
2000-06-30,19752,698,229000,2298
2000-09-30,18462,697,232000,2386
2000-12-31,18387,697,232000,2099
2001-03-31,22755,701,236000,1848
2001-06-30,22596,700,238000,2082
2001-09-30,22445,706,241000,2109
2001-12-31,26414,718,246000,2539
2002-03-31,32150,737,255000,2085
2002-06-30,30387,752,260000,2426
2002-09-30,29752,773,270000,2861
2002-12-31,33447,801,282000,2898
2003-03-31,36534,842,298000,2684
2003-06-30,37873,871,312000,3032
2003-09-30,40028,938,339000,3280
2003-12-31,39725,1000,370000,3270
2004-03-31,36898,1041,387000,2882
2004-06-30,34264,1066,396000,3373
2004-09-30,30218,1091,413000,3296
2004-12-31,33763,1125,428790,3184
2005-03-31,36496,1180,452266,2910
2005-06-30,32756,1214,467792,3113
2005-09-30,32463,1251,484380,3072
2005-12-31,31115,1300,505745,3111
2006-03-31,30863,1324,519529,2835
2006-06-30,32008,1337,525206,2892
2006-09-30,31599,1370,538479,3108
2006-12-31,34471,1418,559174,3167
2007-03-31,35837,1479,586557,2835
2007-06-30,31306,1520,605005,3095
2007-09-30,24217,1526,610834,3240
2007-12-31,25179,1531,613678,3214
2008-03-31,20415,1521,615796,2683
2008-06-30,16124,1453,591589,2634
2008-09-30,15857,1423,581549,2590
2008-12-31,15591,1395,568348,2295
2009-03-31,19133,1383,568231,2143
2009-06-30,22017,1407,578039,2198
2009-09-30,22126,1438,594447,2222
2009-12-31,21004,1468,605894,2340
2010-03-31,18652,1469,608658,2081
2010-06-30,17658,1455,603335,2401
2010-09-30,15660,1445,600851,2326
2010-12-31,16310,1444,601793,2215
2011-03-31,17139,1447,605236,2076
2011-06-30,19184,1452,602427,2160
2011-09-30,18855,1474,613309,2308
2011-12-31,20580,1477,614603,2486
2012-03-31,22750,1493,620637,2346
2012-06-30,23454,1510,629749,2539
2012-09-30,22140,1541,642153,2640
2012-12-31,24624,1572,655468,2904
2013-03-31,24806,1609,671586,2880
2013-06-30,25385,1645,688836,3033
2013-09-30,24679,1697,708146,3117
2013-12-31,23298,1715,718719,3267
2014-03-31,22444,1734,724665,3231
2014-06-30,21963,1749,735586,3371
2014-09-30,21480,1778,744959,3433
2014-12-31,26643,1835,767986,3498
2015-03-31,26714,1892,791166,3404
2015-06-30,29078,1956,821359,3488
2015-09-30,31008,2045,862341,3648
2015-12-31,29231,2060,873190,3760
2016-03-31,29308,2136,905368,3791
2016-06-30,32050,2249,959850,4031
2016-09-30,27534,2333,1001785,4059
2016-12-31,26073,2355,1013840,4069
2017-03-31,24040,2391,1030945,3859
2017-06-30,24138,2395,1042827,3886
2017-09-30,21519,2422,1051599,4036
2017-12-31,23746,2449,1067373,4037
2018-03-31,24169,2481,1079470,3814
2018-06-30,25011,2481,1090523,3863
2018-09-30,22808,2495,1105095,3927
2018-12-31,24800,2517,1118115,4007
2019-03-31,22590,2526,1126956,3989
2019-06-30,24341,2518,1131286,4074
2019-09-30,23802,2565,1157412,4140
2019-12-31,27521,2633,1188262,4254
2020-03-31,24045,2722,1227951,3760
2020-06-30,18055,2696,1227900,3164
2020-09-30,32391,2839,1280867,4415
2020-12-31,38123,3081,1385674,4620
2021-03-31,30244,3379,1512986,4373
2021-06-30,28319,3495,1591524,4409
2021-09-30,23057,3704,1663058,4099
2021-12-31,28336,3920,1763125,4451
2022-03-31,19157,3846,1723371,4091
2022-06-30,17850,3681,1680923,4179
2022-09-30,17329,3548,1630391,4486
2022-12-31,16606,3484,1608367,4274
2023-03-31,15868,3382,1573547,3896
2023-06-30,19182,3349,1563341,4049
2023-09-30,19268,3404,1590955,4187
2023-12-31,21094,3464,1621444,4083
2024-03-31,20509,3470,1630738,3701
2024-06-30,21086,3398,1619652,3609
2024-09-30,22340,3381,1618019,3654
2024-12-31,24233,3414,1636999,3404
2025-03-31,23368,3412,1642553,3317
2025-06-30,24571,3375,1645389,3305
2025-09-30,22956,3376,1650895,3471
2025-12-31,25892,3392,1656807,3499
2026-03-31,21534,3399,1666677,3185
