quarter_date,year,quarter,hpi,house_sales,housing_stock_NZDm,residential_investment_NZDm,hpi_prev_year,hpi_yoy_pct,hpi_rolling_4q,sales_yoy_pct
1990-03-31,1990,1,477,22857,123000,1790,,,477.0,
1990-06-30,1990,2,480,22681,125000,2043,,,478.5,
1990-09-30,1990,3,483,20179,126000,1873,,,480.0,
1990-12-31,1990,4,482,17478,126000,1985,,,480.5,
1991-03-31,1991,1,479,17337,124000,1567,477,0.4,481.0,-24.2
1991-06-30,1991,2,470,17903,123000,1626,480,-2.1,478.5,-21.1
1991-09-30,1991,3,468,17774,125000,1541,483,-3.1,474.8,-11.9
1991-12-31,1991,4,466,16795,125000,1684,482,-3.3,470.8,-3.9
1992-03-31,1992,1,468,18663,125000,1498,479,-2.3,468.0,7.6
1992-06-30,1992,2,467,18564,127000,1701,470,-0.6,467.3,3.7
1992-09-30,1992,3,470,18946,128000,1576,468,0.4,467.8,6.6
1992-12-31,1992,4,477,18651,129000,1757,466,2.4,470.5,11.1
1993-03-31,1993,1,481,19959,131000,1555,468,2.8,473.8,6.9
1993-06-30,1993,2,482,20440,133000,1887,467,3.2,477.5,10.1
1993-09-30,1993,3,491,23891,136000,1979,470,4.5,482.8,26.1
1993-12-31,1993,4,503,25508,140000,2090,477,5.5,489.3,36.8
1994-03-31,1994,1,520,29866,148000,1793,481,8.1,499.0,49.6
1994-06-30,1994,2,536,27809,154000,2274,482,11.2,512.5,36.1
1994-09-30,1994,3,554,26724,160000,2271,491,12.8,528.3,11.9
1994-12-31,1994,4,572,24298,164000,2248,503,13.7,545.5,-4.7
1995-03-31,1995,1,579,23433,168000,2013,520,11.3,560.3,-21.5
1995-06-30,1995,2,585,24509,172000,2361,536,9.1,572.5,-11.9
1995-09-30,1995,3,599,26185,177000,2145,554,8.1,583.8,-2.0
1995-12-31,1995,4,621,27301,183000,2285,572,8.6,596.0,12.4
1996-03-31,1996,1,653,34598,192000,2088,579,12.8,614.5,47.6
1996-06-30,1996,2,663,25087,196000,2379,585,13.3,634.0,2.4
1996-09-30,1996,3,662,22893,197000,2221,599,10.5,649.8,-12.6
1996-12-31,1996,4,680,26436,201000,2435,621,9.5,664.5,-3.2
1997-03-31,1997,1,696,29123,209000,2281,653,6.6,675.3,-15.8
1997-06-30,1997,2,702,27144,215000,2486,663,5.9,685.0,8.2
1997-09-30,1997,3,706,25187,218000,2508,662,6.6,696.0,10.0
1997-12-31,1997,4,715,24390,221000,2531,680,5.1,704.8,-7.7
1998-03-31,1998,1,709,21163,220000,2067,696,1.9,708.0,-27.3
1998-06-30,1998,2,688,18375,218000,2203,702,-2.0,704.5,-32.3
1998-09-30,1998,3,677,20568,219000,2016,706,-4.1,697.3,-18.3
1998-12-31,1998,4,690,24765,221000,2153,715,-3.5,691.0,1.5
1999-03-31,1999,1,701,26141,223000,1969,709,-1.1,689.0,23.5
1999-06-30,1999,2,705,24275,226000,2284,688,2.5,693.3,32.1
1999-09-30,1999,3,706,23209,227000,2439,677,4.3,700.5,12.8
1999-12-31,1999,4,705,22043,227000,2525,690,2.2,704.3,-11.0
2000-03-31,2000,1,705,22913,229000,2706,701,0.6,705.3,-12.3
2000-06-30,2000,2,698,19752,229000,2298,705,-1.0,703.5,-18.6
2000-09-30,2000,3,697,18462,232000,2386,706,-1.3,701.3,-20.5
2000-12-31,2000,4,697,18387,232000,2099,705,-1.1,699.3,-16.6
2001-03-31,2001,1,701,22755,236000,1848,705,-0.6,698.3,-0.7
2001-06-30,2001,2,700,22596,238000,2082,698,0.3,698.8,14.4
2001-09-30,2001,3,706,22445,241000,2109,697,1.3,701.0,21.6
2001-12-31,2001,4,718,26414,246000,2539,697,3.0,706.3,43.7
2002-03-31,2002,1,737,32150,255000,2085,701,5.1,715.3,41.3
2002-06-30,2002,2,752,30387,260000,2426,700,7.4,728.3,34.5
2002-09-30,2002,3,773,29752,270000,2861,706,9.5,745.0,32.6
2002-12-31,2002,4,801,33447,282000,2898,718,11.6,765.8,26.6
2003-03-31,2003,1,842,36534,298000,2684,737,14.2,792.0,13.6
2003-06-30,2003,2,871,37873,312000,3032,752,15.8,821.8,24.6
2003-09-30,2003,3,938,40028,339000,3280,773,21.3,863.0,34.5
2003-12-31,2003,4,1000,39725,370000,3270,801,24.8,912.8,18.8
2004-03-31,2004,1,1041,36898,387000,2882,842,23.6,962.5,1.0
2004-06-30,2004,2,1066,34264,396000,3373,871,22.4,1011.3,-9.5
2004-09-30,2004,3,1091,30218,413000,3296,938,16.3,1049.5,-24.5
2004-12-31,2004,4,1125,33763,428790,3184,1000,12.5,1080.8,-15.0
2005-03-31,2005,1,1180,36496,452266,2910,1041,13.4,1115.5,-1.1
2005-06-30,2005,2,1214,32756,467792,3113,1066,13.9,1152.5,-4.4
2005-09-30,2005,3,1251,32463,484380,3072,1091,14.7,1192.5,7.4
2005-12-31,2005,4,1300,31115,505745,3111,1125,15.6,1236.3,-7.8
2006-03-31,2006,1,1324,30863,519529,2835,1180,12.2,1272.3,-15.4
2006-06-30,2006,2,1337,32008,525206,2892,1214,10.1,1303.0,-2.3
2006-09-30,2006,3,1370,31599,538479,3108,1251,9.5,1332.8,-2.7
2006-12-31,2006,4,1418,34471,559174,3167,1300,9.1,1362.3,10.8
2007-03-31,2007,1,1479,35837,586557,2835,1324,11.7,1401.0,16.1
2007-06-30,2007,2,1520,31306,605005,3095,1337,13.7,1446.8,-2.2
2007-09-30,2007,3,1526,24217,610834,3240,1370,11.4,1485.8,-23.4
2007-12-31,2007,4,1531,25179,613678,3214,1418,8.0,1514.0,-27.0
2008-03-31,2008,1,1521,20415,615796,2683,1479,2.8,1524.5,-43.0
2008-06-30,2008,2,1453,16124,591589,2634,1520,-4.4,1507.8,-48.5
2008-09-30,2008,3,1423,15857,581549,2590,1526,-6.7,1482.0,-34.5
2008-12-31,2008,4,1395,15591,568348,2295,1531,-8.9,1448.0,-38.1
2009-03-31,2009,1,1383,19133,568231,2143,1521,-9.1,1413.5,-6.3
2009-06-30,2009,2,1407,22017,578039,2198,1453,-3.2,1402.0,36.5
2009-09-30,2009,3,1438,22126,594447,2222,1423,1.1,1405.8,39.5
2009-12-31,2009,4,1468,21004,605894,2340,1395,5.2,1424.0,34.7
2010-03-31,2010,1,1469,18652,608658,2081,1383,6.2,1445.5,-2.5
2010-06-30,2010,2,1455,17658,603335,2401,1407,3.4,1457.5,-19.8
2010-09-30,2010,3,1445,15660,600851,2326,1438,0.5,1459.3,-29.2
2010-12-31,2010,4,1444,16310,601793,2215,1468,-1.6,1453.3,-22.3
2011-03-31,2011,1,1447,17139,605236,2076,1469,-1.5,1447.8,-8.1
2011-06-30,2011,2,1452,19184,602427,2160,1455,-0.2,1447.0,8.6
2011-09-30,2011,3,1474,18855,613309,2308,1445,2.0,1454.3,20.4
2011-12-31,2011,4,1477,20580,614603,2486,1444,2.3,1462.5,26.2
2012-03-31,2012,1,1493,22750,620637,2346,1447,3.2,1474.0,32.7
2012-06-30,2012,2,1510,23454,629749,2539,1452,4.0,1488.5,22.3
2012-09-30,2012,3,1541,22140,642153,2640,1474,4.5,1505.3,17.4
2012-12-31,2012,4,1572,24624,655468,2904,1477,6.4,1529.0,19.7
2013-03-31,2013,1,1609,24806,671586,2880,1493,7.8,1558.0,9.0
2013-06-30,2013,2,1645,25385,688836,3033,1510,8.9,1591.8,8.2
2013-09-30,2013,3,1697,24679,708146,3117,1541,10.1,1630.8,11.5
2013-12-31,2013,4,1715,23298,718719,3267,1572,9.1,1666.5,-5.4
2014-03-31,2014,1,1734,22444,724665,3231,1609,7.8,1697.8,-9.5
2014-06-30,2014,2,1749,21963,735586,3371,1645,6.3,1723.8,-13.5
2014-09-30,2014,3,1778,21480,744959,3433,1697,4.8,1744.0,-13.0
2014-12-31,2014,4,1835,26643,767986,3498,1715,7.0,1774.0,14.4
